epoch,step,测试/AUROC,测试/F1分数,测试/准确率,训练/AUROC,训练/准确率,训练/总损失,训练/损失,验证/AUROC,验证/F1分数,验证/准确率,验证/总损失,验证/损失
0,49,,,,,0.8125,0.5438311696052551,0.5438311696052551,,,,,
0,99,,,,,0.625,0.641447126865387,0.641447126865387,,,,,
0,149,,,,,0.6875,0.5472038984298706,0.5472038984298706,,,,,
0,199,,,,,0.8125,0.34891438484191895,0.34891438484191895,,,,,
0,249,,,,,0.8125,0.450422078371048,0.450422078371048,,,,,
0,299,,,,,0.875,0.3575320243835449,0.3575320243835449,,,,,
0,349,,,,,0.75,0.6101278066635132,0.6101278066635132,,,,,
0,399,,,,,0.75,0.4417535960674286,0.4417535960674286,,,,,
0,449,,,,,0.8666666746139526,0.39175930619239807,0.39175930619239807,,,,,
0,449,,,,,,,,0.8067192435264587,0.7160362601280212,0.7530195713043213,0.5162719488143921,0.5162719488143921
0,449,,,,0.6892058849334717,,,,,,,,
1,499,,,,,0.8125,0.471242755651474,0.471242755651474,,,,,
1,549,,,,,0.75,0.5697224736213684,0.5697224736213684,,,,,
1,599,,,,,0.8125,0.32400479912757874,0.32400479912757874,,,,,
1,649,,,,,0.6875,0.5552632212638855,0.5552632212638855,,,,,
1,699,,,,,0.75,0.495597243309021,0.495597243309021,,,,,
1,749,,,,,0.5,0.9257898330688477,0.9257898330688477,,,,,
1,799,,,,,0.6875,0.5280137658119202,0.5280137658119202,,,,,
1,849,,,,,0.6875,0.5464974045753479,0.5464974045753479,,,,,
1,899,,,,,0.6666666865348816,0.49284273386001587,0.49284273386001587,,,,,
1,899,,,,,,,,0.8255035877227783,0.7334781289100647,0.7725947499275208,0.4900940954685211,0.4900940954685211
1,899,,,,0.7914373874664307,,,,,,,,
2,949,,,,,0.6875,0.707216203212738,0.707216203212738,,,,,
2,999,,,,,0.75,0.35405194759368896,0.35405194759368896,,,,,
2,1049,,,,,0.9375,0.28620970249176025,0.28620970249176025,,,,,
2,1099,,,,,0.625,0.7075113654136658,0.7075113654136658,,,,,
2,1149,,,,,0.9375,0.29428526759147644,0.29428526759147644,,,,,
2,1199,,,,,0.875,0.33738577365875244,0.33738577365875244,,,,,
2,1249,,,,,0.6875,0.7156384587287903,0.7156384587287903,,,,,
2,1299,,,,,0.6875,0.39729270339012146,0.39729270339012146,,,,,
2,1349,,,,,0.800000011920929,0.5477321147918701,0.5477321147918701,,,,,
2,1349,,,,,,,,0.8276674151420593,0.7179001569747925,0.7821741104125977,0.501495897769928,0.501495897769928
2,1349,,,,0.8291406035423279,,,,,,,,
3,1399,,,,,0.875,0.3591998517513275,0.3591998517513275,,,,,
3,1449,,,,,0.875,0.28023090958595276,0.28023090958595276,,,,,
3,1499,,,,,0.875,0.31186643242836,0.31186643242836,,,,,
3,1549,,,,,0.625,0.6748851537704468,0.6748851537704468,,,,,
3,1599,,,,,0.8125,0.49642008543014526,0.49642008543014526,,,,,
3,1649,,,,,0.875,0.3029921054840088,0.3029921054840088,,,,,
3,1699,,,,,0.75,0.5515424013137817,0.5515424013137817,,,,,
3,1749,,,,,0.6875,0.5235822200775146,0.5235822200775146,,,,,
3,1799,,,,,0.8666666746139526,0.34023919701576233,0.34023919701576233,,,,,
3,1799,,,,,,,,0.8318943977355957,0.7363364696502686,0.7850895524024963,0.47203129529953003,0.47203129529953003
3,1799,,,,0.8502371907234192,,,,,,,,
4,1849,,,,,1.0,0.13662146031856537,0.13662146031856537,,,,,
4,1899,,,,,0.8125,0.38397216796875,0.38397216796875,,,,,
4,1949,,,,,0.9375,0.212765172123909,0.212765172123909,,,,,
4,1999,,,,,0.625,0.4823216497898102,0.4823216497898102,,,,,
4,2049,,,,,0.8125,0.40044018626213074,0.40044018626213074,,,,,
4,2099,,,,,0.875,0.43378371000289917,0.43378371000289917,,,,,
4,2149,,,,,0.875,0.2659198045730591,0.2659198045730591,,,,,
4,2199,,,,,0.9375,0.1415533870458603,0.1415533870458603,,,,,
